Date,Price,Open,High,Low,Vol.,Change %,Sorting order
06/25/2012,4.8,5.1,5.1,4.6,207.45K,-4.00%,2498
06/26/2012,4.8,4.8,4.9,4.8,7.67K,0.00%,2497
06/27/2012,4.7,4.8,4.8,4.7,22.60K,-2.08%,2496
06/28/2012,4.9,4.8,4.9,4.8,105.05K,4.26%,2495
06/29/2012,4.8,4.9,4.9,4.8,339.11K,-2.04%,2494
07/02/2012,4.8,4.8,4.9,4.8,24.10K,0.00%,2493
07/04/2012,4.8,4.9,4.9,4.8,21.60K,0.00%,2492
07/05/2012,4.7,4.8,4.8,4.7,65.00K,-2.08%,2491
07/06/2012,4.7,4.7,4.8,4.7,208.10K,0.00%,2490
07/09/2012,4.3,4.8,4.8,4.1,763.43K,-8.51%,2489
07/10/2012,4.4,4.4,4.4,4.2,12.62K,2.33%,2488
07/11/2012,4.2,4.3,4.3,4.2,10.20K,-4.55%,2487
07/12/2012,4.2,4.3,4.4,4.2,193.00K,0.00%,2486
07/13/2012,4.3,4.4,4.7,4.3,83.43K,2.38%,2485
07/16/2012,4.4,4.5,4.5,4.3,97.10K,2.33%,2484
07/17/2012,4.3,4.3,4.4,4.3,70.17K,-2.27%,2483
07/18/2012,4.3,4.3,4.3,4.3,69.55K,0.00%,2482
07/19/2012,4.3,4.3,4.4,4.2,73.66K,0.00%,2481
07/20/2012,4.3,4.3,4.3,4.2,60.20K,0.00%,2480
07/23/2012,4.3,4.3,4.3,4.3,12.65K,0.00%,2479
07/24/2012,4.2,4.3,4.3,4.2,10.45K,-2.33%,2478
07/25/2012,4.2,4.3,4.3,4.2,88.50K,0.00%,2477
07/26/2012,4.2,4.4,4.4,4.2,429.95K,0.00%,2476
07/27/2012,4.3,4.4,4.4,4.2,32.54K,2.38%,2475
07/30/2012,4.2,4.3,4.3,4.2,35.90K,-2.33%,2474
07/31/2012,4.3,4.4,4.4,4.2,1.05M,2.38%,2473
08/02/2012,4.3,4.3,4.3,4.3,9.25K,0.00%,2472
08/03/2012,4.3,4.3,4.3,4.3,8.61K,0.00%,2471
