Date,Close_Ratio_1,Trend_1,Close_Ratio_2,Trend_2,Close_Ratio_4,Trend_4,Close_Ratio_12,Trend_12,Close_Ratio_24,Trend_24
2011-04-01,1.0,0.0,0.9622765401976663,0.0,0.9282528005314233,2.0,1.0046098133506867,6.0,1.0341411730329386,15.0
2011-05-01,1.0,0.0,0.9859475163712289,0.0,0.9308488541975236,1.0,0.9702887425010968,6.0,0.9966559933568558,14.0
2011-06-01,1.0,0.0,0.9781340084160246,0.0,0.9350308372149553,0.0,0.9201248429112834,6.0,0.9476951436657394,13.0
2011-07-01,1.0,1.0,1.0876611595151513,1.0,1.1060695419448212,1.0,1.0775528283539806,6.0,1.115834162977921,13.0
2011-08-01,1.0,0.0,0.9451972421998576,1.0,0.9925644189601547,1.0,0.9526963056550346,6.0,0.9938180586267844,12.0
2011-09-01,1.0,0.0,0.97545454275157,0.0,0.9511050219986903,1.0,0.9084813130821933,5.0,0.9448115655039552,11.0
2011-10-01,1.0,1.0,1.0700562976589296,1.0,1.0524922599998137,2.0,1.0486063392373792,5.0,1.082487802824242,11.0
2011-11-01,1.0,1.0,1.0056626275096596,2.0,1.0665160070069006,2.0,1.0537628928018246,6.0,1.0934531132390315,11.0
2011-12-01,1.0,1.0,1.037348706097718,2.0,1.0980165125718944,3.0,1.1269562805341928,6.0,1.175983217510925,11.0
2012-01-01,1.0,0.0,0.9463381544140841,1.0,0.9596367651056493,3.0,1.0151559303756295,5.0,1.0521954841996484,11.0
2012-02-01,1.0,1.0,1.031826840800614,1.0,1.012010760455024,3.0,1.0811338943826714,5.0,1.113676381032665,12.0
2012-03-01,1.0,1.0,1.0182534035162347,2.0,1.0319694262046146,3.0,1.112504190503642,6.0,1.148698716594402,12.0
2012-04-01,1.0,0.0,0.9707966440016322,1.0,0.9897522732434739,2.0,1.0402337675743223,6.0,1.0771471505858459,12.0
2012-05-01,1.0,0.0,0.9797673978145166,0.0,0.9502044680897476,2.0,0.991607989308961,6.0,1.0271663313393502,12.0
2012-06-01,1.0,0.0,0.9993195124527045,0.0,0.963963738391057,1.0,0.9799859152469609,6.0,1.015657613198098,12.0
2012-07-01,1.0,1.0,1.0436094352310101,1.0,1.0554997277282698,1.0,1.0649665791237914,6.0,1.0964332164609867,12.0
2012-08-01,1.0,1.0,1.0395430095453853,2.0,1.1054341314007892,2.0,1.1298264571265257,7.0,1.166917620409371,13.0
2012-09-01,1.0,1.0,1.0482150921031976,2.0,1.1377387745374812,3.0,1.2046509775624255,8.0,1.264616996687007,13.0
2012-10-01,1.0,0.0,0.9482855023787382,1.0,0.9884992708960085,3.0,1.0736592733911687,7.0,1.1349715264232048,12.0
2012-11-01,1.0,1.0,1.0131067980579262,1.0,0.9912073013649939,3.0,1.0880141529240988,7.0,1.1536774491842468,13.0
2012-12-01,1.0,1.0,1.0064093970133208,2.0,0.9961169369921918,3.0,1.0933244333234433,7.0,1.1595102483507744,13.0
2013-01-01,1.0,1.0,1.0330195957737027,2.0,1.0637003760142916,3.0,1.1421625786065703,8.0,1.2256949809050932,13.0
2013-02-01,1.0,1.0,1.0292313454841833,2.0,1.0817378882663813,4.0,1.1836720201544075,8.0,1.2832237110626101,13.0
2013-03-01,1.0,0.0,0.9956061073849729,1.0,1.038679610281378,3.0,1.151630057346446,7.0,1.2546288569258446,13.0
2013-04-01,1.0,1.0,1.0187674624778482,1.0,1.0386157474677433,3.0,1.1647579598781066,8.0,1.2790095828186432,14.0
2013-05-01,1.0,1.0,1.0275092770940755,2.0,1.0588542516805184,3.0,1.1899812390083704,9.0,1.322128645967695,15.0
2013-06-01,1.0,1.0,1.005223824184868,2.0,1.0448410185416168,3.0,1.1627354264398417,10.0,1.3051501120255942,16.0
2013-07-01,1.0,1.0,1.0041739285602913,2.0,1.0251421004449068,4.0,1.1405012032155952,10.0,1.2933962223692883,16.0
2013-08-01,1.0,0.0,0.9764506113744956,1.0,0.9717059547746553,3.0,1.069493771855836,9.0,1.2113822348618677,16.0
2013-09-01,1.0,1.0,1.0168387267378411,1.0,1.0036408326858497,3.0,1.09217408547483,9.0,1.2264983979177626,17.0
2013-10-01,1.0,1.0,1.0811281797049426,2.0,1.132150945091473,3.0,1.2399036659642069,10.0,1.407122481099212,17.0
2013-11-01,1.0,1.0,1.0138792550970595,2.0,1.1115610508699156,3.0,1.2302515497219697,10.0,1.4098213751348623,17.0
2013-12-01,1.0,1.0,1.0280328217093995,2.0,1.096909788253619,4.0,1.2511787416889188,10.0,1.45289899482696,17.0
2014-01-01,1.0,1.0,1.0261808961914096,2.0,1.0756014113016248,4.0,1.2682737728184068,10.0,1.4828909517191873,18.0
2014-02-01,1.0,1.0,1.0144703705694276,2.0,1.062417518711877,4.0,1.258826717342784,10.0,1.4801737020920098,18.0
2014-03-01,1.0,0.0,0.9568387633615,1.0,0.9628337827236279,3.0,1.1235485388844686,10.0,1.3258178922087134,17.0
2014-04-01,1.0,0.0,0.9720291971462532,0.0,0.9236639496843979,2.0,1.0422933811793569,9.0,1.2263561092102873,17.0
2014-05-01,1.0,1.0,1.0305830572988746,1.0,0.9950337520125485,2.0,1.0857261790890873,9.0,1.2704829335352747,18.0
2014-06-01,1.0,1.0,1.0135574401479968,2.0,1.0371011538298822,2.0,1.091660393130421,9.0,1.2710899006689986,19.0
2014-07-01,1.0,0.0,0.9967912566463039,1.0,1.0237168347236827,2.0,1.0631297128611357,8.0,1.2339416734258182,18.0
2014-08-01,1.0,0.0,1.0,0.0,1.0035244112103754,2.0,1.0391992286358593,8.0,1.2089955015696008,17.0
2014-09-01,1.0,1.0,1.0050132454057237,1.0,1.0059237627693125,2.0,1.0278935103645508,8.0,1.1999764118234852,17.0
2014-10-01,1.0,0.0,0.9839146872930483,1.0,0.9809970247386505,1.0,0.9888492102817168,7.0,1.1403302407157643,17.0
2014-11-01,1.0,0.0,0.9843311543946255,0.0,0.9633090201645401,1.0,0.9565675731282312,6.0,1.0873124420140634,16.0
2014-12-01,1.0,0.0,0.9855555349059921,0.0,0.955063567887646,1.0,0.9339152529679927,5.0,1.0412805027755072,15.0
2015-01-01,1.0,1.0,1.0076537302695914,1.0,0.9890139258479983,1.0,0.9561493835814171,5.0,1.0438309263916592,15.0
2015-02-01,1.0,1.0,1.0218497274830236,2.0,1.0335238145471528,2.0,1.0061880709985709,5.0,1.0766061195978947,15.0
