Date,Price,Open,High,Low,Vol.,Change %,Sorting order
01/06/2016,292.1,296.9,296.9,292.1,0.05K,0.03%,1588
01/07/2016,294.9,296.5,296.5,290,5.25K,0.96%,1587
01/08/2016,285.7,286.1,292.5,285,2.21K,-3.12%,1586
01/11/2016,289.8,280,290,280,5.07K,1.44%,1585
01/12/2016,284.8,285,285,270.1,10.33K,-1.73%,1584
01/13/2016,282.9,285,285,282.9,1.21K,-0.67%,1583
01/14/2016,281.9,281.9,281.9,277.9,12.27K,-0.35%,1582
01/18/2016,270,271.1,282.9,260,5.26K,-4.22%,1581
01/19/2016,269.7,270,273.9,267,1.21K,-0.11%,1580
01/20/2016,268,269.7,269.7,261.6,1.83K,-0.63%,1579
01/21/2016,267.5,268,268,260,1.80K,-0.19%,1578
01/22/2016,268.8,267,270,263,19.32K,0.49%,1577
01/25/2016,269,262.2,269,262.2,2.56K,0.07%,1576
01/26/2016,265,270,270,260.1,2.57K,-1.49%,1575
01/27/2016,263,265,265,256.2,2.52K,-0.75%,1574
01/28/2016,257,260,260,257,0.05K,-2.28%,1573
01/29/2016,260,260,266,259.9,9.38K,1.17%,1572
02/01/2016,260,262,262,260,2.75K,0.00%,1571
02/02/2016,267,265,267,260,13.72K,2.69%,1570
02/03/2016,267,270,270,265,3.36K,0.00%,1569
02/05/2016,269,267,269,265,2.09K,0.75%,1568
02/08/2016,265,270,270,260,7.93K,-1.49%,1567
02/09/2016,265,265,265,260,2.84K,0.00%,1566
02/10/2016,268,260,268,260,1.73K,1.13%,1565
02/11/2016,264,265,265,260,10.04K,-1.49%,1564
02/12/2016,262,262.4,262.4,262,0.00K,-0.76%,1563
02/15/2016,250,260,260,250,2.70K,-4.58%,1562
02/17/2016,249.9,255,255,240,4.66K,-0.04%,1561
02/18/2016,250,245,250,245,1.50K,0.04%,1560
02/19/2016,249,241,249,241,1.02K,-0.40%,1559
02/23/2016,248.5,240.1,248.5,235.2,2.00K,-0.20%,1558
02/24/2016,245,240,245,235.2,1.40K,-1.41%,1557
02/25/2016,245,247,255,245,13.85K,0.00%,1556
02/26/2016,244.9,245.6,245.6,243.2,3.55K,-0.04%,1555
02/29/2016,245,249.9,249.9,243.1,0.53K,0.04%,1554
03/01/2016,243,243.3,244,239.5,7.66K,-0.82%,1553
03/02/2016,239.9,240,240,238,4.18K,-1.28%,1552
03/03/2016,234.9,237,237,230,11.42K,-2.08%,1551
03/04/2016,213,229,229,212,1.85K,-9.32%,1550
03/08/2016,213.5,211.2,214.9,200,5.81K,0.23%,1549
03/09/2016,205,210,210,190.1,1.03K,-3.98%,1548
03/10/2016,210,205,210,205,2.37K,2.44%,1547
03/11/2016,214,213,215,213,2.77K,1.90%,1546
03/14/2016,214,211,214,205,5.48K,0.00%,1545
03/15/2016,218,204.1,220,204.1,2.23K,1.87%,1544
03/16/2016,218,218,218,214,11.20K,0.00%,1543
03/17/2016,217,219,220,206.1,3.44K,-0.46%,1542
03/18/2016,217.9,214.1,217.9,210,0.77K,0.41%,1541
03/21/2016,216,217,217,210,0.71K,-0.87%,1540
03/23/2016,230,210,230,210,6.97K,6.48%,1539
03/24/2016,229,228.9,229,228.9,0.60K,-0.43%,1538
03/28/2016,226.9,227,227,226.9,0.36K,-0.92%,1537
03/29/2016,210.5,210.2,210.5,210.2,0.70K,-7.23%,1536
03/30/2016,217,222.9,225,210,9.93K,3.09%,1535
03/31/2016,220,224,224,211,10.09K,1.38%,1534
04/01/2016,222,224.9,224.9,213.1,0.76K,0.91%,1533
04/04/2016,225,215,225,210,0.34K,1.35%,1532
04/05/2016,230,223,233.5,222.5,7.42K,2.22%,1531
04/06/2016,230,234,234,221,1.71K,0.00%,1530
04/07/2016,231,229,231,225,9.28K,0.43%,1529
04/08/2016,234.8,235,235,230,3.34K,1.65%,1528
04/11/2016,229.9,229,229.9,227,3.37K,-2.09%,1527
04/12/2016,232,234,235,232,2.55K,0.91%,1526
04/15/2016,233,235,235,233,5.33K,0.43%,1525
04/18/2016,238.5,238.9,239,238.5,2.20K,2.36%,1524
04/19/2016,239,240,240,239,0.51K,0.21%,1523
04/20/2016,246,236,247.5,235,23.87K,2.93%,1522
04/22/2016,247,249.8,255,247,6.62K,0.41%,1521
04/25/2016,245,247,250,245,3.00K,-0.81%,1520
04/26/2016,245,249,249,245,2.23K,0.00%,1519
04/27/2016,249,245.5,249.9,245.5,0.92K,1.63%,1518
04/28/2016,245,246,246,241,3.75K,-1.61%,1517
04/29/2016,247,245,247.9,242,15.12K,0.82%,1516
05/03/2016,246,247,247,245,0.69K,-0.40%,1515
05/04/2016,245,245,245,242,9.31K,-0.41%,1514
05/05/2016,247,247,247,247,0.50K,0.82%,1513
05/06/2016,249,249,249,249,0.01K,0.81%,1512
05/09/2016,247.5,247.9,247.9,245,12.68K,-0.60%,1511
05/10/2016,251.9,248,253.5,248,0.73K,1.78%,1510
05/11/2016,248,248,250,247.8,2.90K,-1.55%,1509
05/12/2016,245,246,246,240,1.21K,-1.21%,1508
05/13/2016,249.8,249.8,249.8,241.1,1.21K,1.96%,1507
05/16/2016,250,252,252,250,0.22K,0.08%,1506
05/17/2016,249.5,245,249.5,243,2.54K,-0.20%,1505
05/18/2016,249,241,249,241,1.17K,-0.20%,1504
05/19/2016,249.3,249,249.3,249,0.40K,0.12%,1503
05/20/2016,249.2,245,249.2,245,0.61K,-0.04%,1502
05/24/2016,240.5,249,249,240,3.26K,-3.49%,1501
05/25/2016,244,242,244,242,1.00K,1.46%,1500
05/26/2016,241,241,241,241,1.00K,-1.23%,1499
05/27/2016,243.9,244,244,241,5.90K,1.20%,1498
05/30/2016,245,242,247.8,242,0.55K,0.45%,1497
05/31/2016,245,242,245,240.1,0.30K,0.00%,1496
06/01/2016,245,243,245,243,2.54K,0.00%,1495
06/02/2016,244.5,237.5,244.5,237.5,0.05K,-0.20%,1494
06/03/2016,240,240,240,240,2.46K,-1.84%,1493
06/06/2016,242,242,242,242,0.01K,0.83%,1492
06/07/2016,244.8,242,244.8,242,0.32K,1.16%,1491
06/08/2016,238,244.5,244.8,238,2.19K,-2.78%,1490
06/09/2016,244,244,244.4,238,0.31K,2.52%,1489
06/10/2016,243,243.9,243.9,243,0.21K,-0.41%,1488
06/13/2016,244,243,244,243,0.02K,0.41%,1487
06/15/2016,242.9,242.9,242.9,242.9,0.00K,-0.45%,1486
06/21/2016,236,236,239.9,236,0.69K,-2.84%,1485
06/22/2016,243.5,244,244,240,0.50K,3.18%,1484
06/23/2016,243.5,243.5,243.5,243.5,0.10K,0.00%,1483
06/24/2016,242,242,242,242,0.01K,-0.62%,1482
06/27/2016,243.5,235,243.5,235,1.05K,0.62%,1481
06/28/2016,240,240,240,240,0.00K,-1.44%,1480
06/29/2016,240,240,240,240,0.00K,0.00%,1479
06/30/2016,240,232,240,232,0.97K,0.00%,1478
07/01/2016,238,233,238,232,1.60K,-0.83%,1477
07/04/2016,235,238,238,235,25.10K,-1.26%,1476
07/05/2016,235,235,235,235,1.08K,0.00%,1475
07/07/2016,237,231.1,238,230,3.30K,0.85%,1474
07/08/2016,234.5,231,235,230,7.31K,-1.05%,1473
07/11/2016,234.9,235,235,234.9,0.05K,0.17%,1472
07/12/2016,243,234.9,243,233,7.14K,3.45%,1471
07/13/2016,242,243,243,242,0.00K,-0.41%,1470
07/14/2016,240,239,240,239,0.02K,-0.83%,1469
07/15/2016,244,243,245,230,1.21K,1.67%,1468
