Date,Price,Open,High,Low,Vol.,Change %,Sorting order
06/28/2013,84,84,84,84,,0.00%,1536
07/01/2013,78.1,80,80,78.1,0.45K,-7.02%,1535
07/02/2013,79.6,79.6,79.6,79.6,,1.92%,1534
07/03/2013,78.1,78.1,80,78.1,0.61K,-1.88%,1533
07/04/2013,80,76.7,80,76.7,1.52K,2.43%,1532
07/05/2013,77,76.9,77,76.9,0.11K,-3.75%,1531
07/08/2013,77,77,77,77,,0.00%,1530
07/09/2013,77,77,77,77,,0.00%,1529
07/10/2013,77,77.1,77.1,77,0.01K,0.00%,1528
07/11/2013,83,79,83,78.9,18.00K,7.79%,1527
07/12/2013,77,76.8,83,70,1.23K,-7.23%,1526
07/15/2013,77,77,77,77,,0.00%,1525
07/16/2013,78,78,78,78,0.26K,1.30%,1524
07/17/2013,78,78,78,78,,0.00%,1523
07/18/2013,81.3,78,81.3,76.2,3.12K,4.23%,1522
07/19/2013,78,76.2,78,76.1,1.27K,-4.06%,1521
07/23/2013,79,76.3,79,76.3,0.30K,1.28%,1520
07/24/2013,79,79,79,79,,0.00%,1519
07/25/2013,78.9,78.9,78.9,78.9,0.07K,-0.13%,1518
07/26/2013,77,77,77.2,77,1.12K,-2.41%,1517
07/29/2013,76.5,76.5,76.5,76.5,0.14K,-0.65%,1516
07/30/2013,80,77,80,76.5,0.11K,4.58%,1515
07/31/2013,83,76.6,83,75,2.42K,3.75%,1514
08/01/2013,81,81,81,81,,-2.41%,1513
08/02/2013,81,81,81,81,,0.00%,1512
08/05/2013,81,81,81,81,,0.00%,1511
08/06/2013,82,81.5,82,81.5,0.40K,1.23%,1510
08/07/2013,81.9,74.7,81.9,73,1.32K,-0.12%,1509
08/08/2013,74,74.1,74.1,73.2,0.38K,-9.65%,1508
08/12/2013,81.9,73.5,81.9,73.3,0.67K,10.68%,1507
08/13/2013,78.7,78.7,78.7,78.7,,-3.91%,1506
08/14/2013,80,79,80,79,0.11K,1.65%,1505
08/15/2013,82.5,81.7,82.5,81.7,0.30K,3.13%,1504
08/16/2013,82,82,82,82,0.00K,-0.61%,1503
08/19/2013,82,82,82,82,,0.00%,1502
08/21/2013,82,82,82,82,,0.00%,1501
08/22/2013,82,82,82,82,,0.00%,1500
08/23/2013,82,82,82,82,,0.00%,1499
08/26/2013,82,82,82,82,,0.00%,1498
08/27/2013,81.5,75.1,81.5,75.1,0.50K,-0.61%,1497
08/28/2013,80,77,80,77,0.90K,-1.84%,1496
08/29/2013,77.3,77.3,77.3,77.3,,-3.37%,1495
08/30/2013,80,77.3,80,77.3,0.84K,3.49%,1494
09/02/2013,79.9,80,80,79.9,0.05K,-0.12%,1493
09/03/2013,79.9,79.9,79.9,79.9,,0.00%,1492
09/04/2013,84,78,84,78,0.83K,5.13%,1491
09/05/2013,81.9,81.9,81.9,81.9,0.01K,-2.50%,1490
09/06/2013,81.9,81.9,81.9,81.9,,0.00%,1489
09/09/2013,81.9,81.9,81.9,81.9,,0.00%,1488
09/10/2013,81.9,81.9,81.9,81.9,,0.00%,1487
09/11/2013,81.9,81.9,81.9,81.9,,0.00%,1486
09/12/2013,81,77.5,81,77.5,1.60K,-1.10%,1485
09/13/2013,77.7,77.7,77.7,77.7,,-4.07%,1484
09/16/2013,77.7,77.7,77.7,77.7,,0.00%,1483
09/17/2013,79.9,79.9,79.9,79.9,0.00K,2.83%,1482
09/18/2013,79.9,79.9,79.9,79.9,,0.00%,1481
09/20/2013,86,76.5,86,76.5,1.40K,7.63%,1480
09/23/2013,80,76.7,80,76.5,0.19K,-6.98%,1479
09/24/2013,80,80,80,80,0.10K,0.00%,1478
09/25/2013,80,80,80,80,,0.00%,1477
09/26/2013,80,80,80,80,,0.00%,1476
09/27/2013,80,80,80,80,,0.00%,1475
09/30/2013,80,76.7,80,76.6,1.52K,0.00%,1474
10/01/2013,80,75.1,80,75.1,0.72K,0.00%,1473
10/02/2013,79.5,79.5,79.5,79.5,0.10K,-0.63%,1472
10/03/2013,79.5,79.5,79.5,79.5,,0.00%,1471
10/04/2013,79.4,76.3,79.4,76.3,0.23K,-0.13%,1470
10/07/2013,79,77.5,79,77.5,0.11K,-0.50%,1469
10/08/2013,80,79.9,80,79.9,4.05K,1.27%,1468
10/09/2013,80,80,80,77.5,1.10K,0.00%,1467
10/10/2013,79.9,80,80,76.6,6.31K,-0.12%,1466
10/11/2013,79.9,79.9,79.9,79.9,,0.00%,1465
10/14/2013,79.9,79.9,79.9,79.9,,0.00%,1464
10/15/2013,80.8,80,81,77.2,10.10K,1.13%,1463
10/17/2013,80.8,80.8,80.8,80.8,,0.00%,1462
10/21/2013,77,77.6,77.6,77,0.31K,-4.70%,1461
10/22/2013,79.9,77,79.9,77,0.17K,3.77%,1460
10/23/2013,78.7,78.7,78.7,78.7,,-1.50%,1459
